"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","购物车","1","0","加入购物车","0"
"0","","0","优惠券","1","0","领取失败","0"
"0","","0","订单管理","3","0","幂等测试","0"
"0","","0","优惠券","1","0","查询场景","0"
"0","","0","商品管理","3","0","安全测试","0"
"0","","0","认证登录","2","0","登录成功","0"
"0","","0","3.jdbc断言","1","0","登录成功","0"
"0","","0","购物车","1","0","购物车商品总数","0"
"0","","0","商品管理","1","0","商品列表-分页边界","0"
"0","","0","售后服务","1","0","售后单列表","0"
"0","","0","用户中心","3","0","参数校验","0"
"0","","0","收货地址","8","0","参数校验","0"
"0","","0","订单管理","6","0","参数校验","0"
"0","","0","订单管理","1","0","结算预览","0"
"0","","0","商品管理","5","0","查询场景","0"
"0","","0","积分余额充值","1","0","余额明细","0"
"0","","0","订单管理","7","0","未登录访问","0"
"0","","0","购物车","1","0","删除购物车商品","0"
"0","","0","用户中心","1","0","绑定/更换手机号","0"
"0","","0","认证登录","6","0","登录失败","0"
"0","","0","购物车","1","0","边界测试","0"
"0","","0","认证登录","2","0","安全测试","0"
"0","","0","内容与公共","1","0","地区列表","0"
"0","","0","购物车","2","0","DB校验","0"
"0","","0","购物车","5","0","参数校验","0"
"0","","0","订单管理","5","0","DB校验","0"
"0","","0","3.jdbc断言","14","0","DB校验","0"
"0","","0","收货地址","1","0","修改地址","0"
"0","","0","内容与公共","4","0","查询场景","0"
"0","","0","商品评价","1","0","评价统计","0"
"0","","0","内容与公共","1","0","首页装修数据","0"
"0","","0","收货地址","1","0","地址详情","0"
"0","","0","内容与公共","4","0","参数校验","0"
"0","","0","收货地址","3","0","DB校验","0"
"0","","0","订单管理","1","0","支付订单","0"
"0","","0","积分余额充值","1","0","DB校验","0"
"0","","0","积分余额充值","5","0","未登录访问","0"
"0","","0","内容与公共","1","0","帮助中心","0"
"0","","0","订单管理","1","0","订单详情","0"
"0","","0","订单管理","1","0","确认收货","0"
"0","","0","3.jdbc断言","1","0","确认收货","0"
"0","","0","认证登录","1","0","发送短信验证码","0"
"0","","0","收货地址","1","0","删除地址","0"
"0","","0","优惠券","1","0","可领取优惠券列表","0"
"0","","0","认证登录","1","0","未登录访问","0"
"0","","0","售后服务","1","0","DB校验","0"
"0","","0","积分余额充值","1","0","提交充值","0"
"0","","0","优惠券","1","0","我的优惠券","0"
"0","","0","优惠券","1","0","领取优惠券","0"
"0","","0","3.jdbc断言","1","0","领取优惠券","0"
"0","","0","用户中心","3","0","未登录访问","0"
"0","","0","认证登录","1","0","边界测试","0"
"0","","0","商品管理","7","0","参数校验","0"
"0","","0","积分余额充值","1","0","查询场景","0"
"0","","0","购物车","1","0","购物车列表","0"
"0","","0","售后服务","2","0","未登录访问","0"
"0","","0","内容与公共","1","0","文章分类","0"
"0","","0","售后服务","6","0","参数校验","0"
"0","","0","内容与公共","1","0","DB校验","0"
"0","","0","收货地址","1","0","设置默认地址","0"
"0","","0","商品评价","1","0","幂等测试","0"
"0","","0","积分余额充值","1","0","充值套餐列表","0"
"0","","0","商品评价","2","0","查询场景","0"
"0","","0","商品管理","1","0","商品列表","0"
"0","","0","售后服务","1","0","售后单详情","0"
"0","","0","商品管理","3","0","边界测试","0"
"0","","0","收货地址","1","0","新增地址","0"
"0","","0","收货地址","1","0","未登录访问","0"
"0","","0","优惠券","1","0","幂等测试","0"
"0","","0","内容与公共","1","0","文章详情","0"
"0","","0","商品评价","3","0","参数校验","0"
"0","","0","内容与公共","1","0","文章列表","0"
"0","","0","购物车","3","0","未登录访问","0"
"0","","0","购物车","1","0","加入购物车失败","0"
"0","","0","购物车","1","0","场景链路","0"
"0","","0","商品管理","1","0","商品规格数据","0"
"0","","0","订单管理","1","0","边界测试","0"
"0","","0","商品管理","1","0","删除商品","0"
"0","","0","售后服务","1","0","申请售后","0"
"0","","0","商品评价","1","0","未登录访问","0"
"0","","0","商品管理","1","0","商品服务保障","0"
"0","","0","收货地址","1","0","地址列表","0"
"0","","0","内容与公共","1","0","商城设置","0"
"0","","0","用户中心","2","0","DB校验","0"
"0","","0","订单管理","1","0","查询场景","0"
"0","","0","用户中心","1","0","安全测试","0"
"0","","0","订单管理","1","0","确认收货失败","0"
"0","","0","订单管理","1","0","支付失败","0"
"0","","0","优惠券","2","0","未登录访问","0"
"0","","0","商品评价","1","0","商品评价列表","0"
"0","","0","收货地址","1","0","安全测试","0"
"0","","0","商品评价","1","0","订单待评价商品","0"
"0","","0","订单管理","1","0","订单物流","0"
"0","","0","内容与公共","1","0","上传图片","0"
"0","","0","3.jdbc断言","1","0","上传图片","0"
"0","","0","订单管理","2","0","场景链路","0"
"0","","0","收货地址","1","0","新增地址失败","0"
"0","","0","收货地址","1","0","地址详情失败","0"
"0","","0","认证登录","1","0","退出登录","0"
"0","","0","积分余额充值","1","0","充值记录","0"
"0","","0","用户中心","1","0","修改个人资料","0"
"0","","0","商品评价","1","0","提交评价","0"
"0","","0","3.jdbc断言","1","0","提交评价","0"
"0","","0","售后服务","1","0","填写退货物流","0"
"0","","0","内容与公共","1","0","地区三级树","0"
"0","","0","商品管理","1","0","编辑商品","0"
"0","","0","商品管理","1","0","商品详情失败","0"
"0","","0","积分余额充值","1","0","积分明细","0"
"0","","0","优惠券","1","0","DB校验","0"
"0","","0","内容与公共","1","0","物流公司列表","0"
"0","","0","购物车","1","0","修改购物车数量","0"
"0","","0","用户中心","1","0","获取账户资产","0"
"0","","0","商品管理","1","0","DB校验","0"
"0","","0","售后服务","1","0","申请售后-商品详情","0"
"0","","0","订单管理","1","0","订单列表","0"
"0","","0","收货地址","1","0","获取默认地址ID","0"
"0","","0","积分余额充值","1","0","参数校验","0"
"0","","0","认证登录","2","0","参数校验","0"
"0","","0","商品管理","1","0","新增商品","0"
"0","","0","订单管理","1","0","提交订单","0"
"0","","0","商品分类","1","0","分类树","0"
"0","","0","订单管理","1","0","取消订单","0"
"0","","0","认证登录","1","0","获取图形验证码","0"
"0","","0","商品管理","1","0","商品详情","0"
"0","","0","用户中心","1","0","获取用户信息","0"
"0","","0","订单管理","1","0","各状态订单数量","0"
