"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","加入购物车","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","领取优惠券-券不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","支付订单-重复支付","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","我的优惠券-筛选已使用","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品详情-SQL注入","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","35","发送短信验证码-提取CODE","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","购物车商品总数","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-分页边界","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","售后单列表","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","绑定手机-手机号格式错误","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","删除地址-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","结算预览-mode非法","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","结算预览","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","4","订单详情-不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","商品列表-价格降序","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","余额明细","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","确认收货-待发货不可收货","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","新增地址-手机号格式错误","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","删除购物车商品","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","2","结算预览-未登录","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","绑定/更换手机号","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","3","登录-手机号不存在","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","7","删除购物车-空数组清空","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
"","14","登录-密码超长","testcases","2026-09-16","passed","2026-09-16","TestRunner","test_runner","",""
